"Actual","Forecast","Error","R2_Per","RMSE_Per","MAE_Per","NRMSE_Per"
0,0,0,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.08,0.11,-0.03,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.25,0.68,-0.43,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.48,1.64,-1.16,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.74,1.87,-1.13,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.89,2.36,-1.47,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.75,1.68,-0.93,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.47,1.34,-0.87,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.24,0.68,-0.44,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.06,0.21,-0.15,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0,0,0,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0,0,0,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.24,0.08,0.16,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.8,0.25,0.55,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
1.11,0.48,0.63,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
1.57,0.74,0.83,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
1.87,0.89,0.98,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
1.81,0.75,1.06,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
1.43,0.47,0.96,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.97,0.24,0.73,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.36,0.06,0.3,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.02,0,0.02,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0,0,0,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.29,0.24,0.05,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.75,0.8,-0.05,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.5,1.11,-0.61,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.73,1.57,-0.84,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
1.21,1.87,-0.66,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
1.38,1.81,-0.43,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
1.4,1.43,-0.03,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.86,0.97,-0.11,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.37,0.36,0.01,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.02,0.02,0,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.01,0,0.01,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.54,0.29,0.25,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
1.41,0.75,0.66,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
1.89,0.5,1.39,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
1.99,0.73,1.26,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
2.06,1.21,0.85,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
2.07,1.38,0.69,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
1.35,1.4,-0.0499999999999998,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.84,0.86,-0.02,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.31,0.37,-0.06,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.02,0.02,0,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0,0.01,-0.01,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.05,0.54,-0.49,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.16,1.41,-1.25,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.28,1.89,-1.61,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.3,1.99,-1.69,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.38,2.06,-1.68,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.33,2.07,-1.74,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.24,1.35,-1.11,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.13,0.84,-0.71,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.03,0.31,-0.28,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0,0.02,-0.02,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0,0,0,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.02,0.05,-0.03,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.1,0.16,-0.06,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.16,0.28,-0.12,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.18,0.3,-0.12,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.21,0.38,-0.17,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
0.16,0.33,-0.17,0.439266950928103,0.839417100507828,0.564765763484426,61.0516084040337
