"Actual","Forecast","Error","R2_05","RMSE_05","MAE_05","NRMSE_05"
0.74,0.960909090909091,-0.220909090909091,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
0.89,0.960909090909091,-0.0709090909090909,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
0.75,0.958181818181818,-0.208181818181818,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
0.47,0.919090909090909,-0.449090909090909,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
0.24,0.813636363636364,-0.573636363636364,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
0.06,0.710909090909091,-0.650909090909091,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
0,0.577272727272727,-0.577272727272727,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
0,0.492727272727273,-0.492727272727273,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
0.24,0.413636363636364,-0.173636363636364,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
0.8,0.373636363636364,0.426363636363636,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
1.11,0.36,0.75,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
1.57,0.36,1.21,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
1.87,0.36,1.51,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
1.81,0.374545454545455,1.43545454545455,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
1.43,0.424545454545455,1.00545454545455,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
0.97,0.481818181818182,0.488181818181818,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
0.36,0.557272727272727,-0.197272727272727,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
0.02,0.646363636363636,-0.626363636363636,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
0,0.742727272727273,-0.742727272727273,0.167632756070897,0.961638550063942,0.793369866174435,69.8438801281522
