"Actual","Forecast","Error","R2_03","RMSE_03","MAE_03","NRMSE_03"
0.25,0.960909090909091,-0.710909090909091,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
0.48,0.960909090909091,-0.480909090909091,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
0.74,0.958181818181818,-0.218181818181818,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
0.89,0.919090909090909,-0.0290909090909091,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
0.75,0.813636363636364,-0.0636363636363637,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
0.47,0.710909090909091,-0.240909090909091,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
0.24,0.577272727272727,-0.337272727272727,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
0.06,0.492727272727273,-0.432727272727273,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
0,0.413636363636364,-0.413636363636364,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
0,0.373636363636364,-0.373636363636364,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
0.24,0.36,-0.12,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
0.8,0.36,0.44,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
1.11,0.36,0.75,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
1.57,0.374545454545455,1.19545454545455,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
1.87,0.424545454545455,1.44545454545455,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
1.81,0.481818181818182,1.32818181818182,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
1.43,0.557272727272727,0.872727272727273,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
0.97,0.646363636363636,0.323636363636364,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
0.36,0.742727272727273,-0.382727272727273,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
0.02,0.83,-0.81,0.209025688575333,0.928020009222487,0.764485694508537,67.4389608659981
